Rank,Country,Players,Points,Number,Games,Badges,XP,Hours
87,Luxembourg,202,142412.27,217043,56072,12585,4986862,752158.1
88,Cuba,269,136366.41,228010,36470,8919,2967937,783784.7
89,Occupied,206,135358.23,221430,36741,7360,2978893,788257.4
90,United States Minor Outlying,321,125973.46,221875,39041,6583,2280456,811941.2
91,Bahamas,144,122841.21,191446,37777,12039,4427316,572207.5
92,Albania,225,115509.21,185342,29971,8672,3022650,696301.5
93,Puerto Rico,191,115497.37,191102,38432,5877,2007202,561868.7
94,Syrian Arab Republic,138,114809.68,165388,25854,5271,1838902,511805.5
95,Malta,134,114561.37,181120,41802,7681,2461613,562299.8
96,Cyprus,146,110923.37,164429,34600,6805,3090050,538732.8
97,Azerbaijan,195,107523.84,166269,25602,7592,2779805,549050.9
98,Iraq,252,101165.8,171892,29263,15735,9733055,1287036.1
99,Cook Islands,188,98987.95,167138,23648,6371,2472018,562237.1
100,Algeria,277,98709.15,154683,49587,15472,5471301,1051981.5
101,Monaco,225,95926.83,162280,26870,15182,6556764,745065.9
102,Faroe Islands,179,94517.18,158236,29189,18832,9345353,675703.6
103,Bangladesh,195,94225.71,149294,40410,7914,2736560,499329.7
104,Somalia,170,93989.25,163275,35428,7692,3461538,554196.8
105,Nigeria,196,93242.21,158436,20476,4195,1510270,515016.8
106,Djibouti,135,92832.81,161385,26286,3745,1430618,569890.0
107,Armenia,197,90959.04,153080,22836,5631,2051884,923848.9
108,British Virgin Islands,120,90877.8,147401,22845,7213,3083162,414673.8
109,Ecuador,138,88842.7,135639,39943,8914,3247516,393913.6
110,Congo,211,87201.51,159333,20604,5433,2129043,566468.8
111,Uzbekistan,189,85576.17,147808,29333,10894,3943921,463344.9
112,Mongolia,175,74917.45,128057,22083,6271,2936423,417415.5
113,Liechtenstein,102,74069.7,121172,23710,6290,2470598,350192.1
114,Qatar,149,73416.95,121327,38017,20638,15978574,511919.4
115,Macau,73,72106.39,106907,43194,5495,2372061,705135.1
116,Sri Lanka,212,71927.41,125797,37337,8952,2703212,514287.7
117,Panama,118,69443.43,111562,23648,7088,2959757,367922.5
118,Kyrgyzstan,133,65490.3,109592,16977,3527,1294862,359536.9
119,Dominican Republic,129,65140.4,100891,35200,7806,1921196,347034.9
120,Kuwait,104,63585.93,103110,26796,13926,7663046,383557.1
121,Morocco,148,63224.3,99290,30966,11767,4749365,399510.3
122,Madagascar,126,62510.2,105296,17958,4260,1330492,374866.1
123,Nepal,137,60718.14,104010,27952,4727,1533952,342145.8
124,"Congo, the Democratic Republic of the",134,57946.35,104939,11711,2966,1258598,352398.9
125,Norfolk Island,93,56455.39,92170,19888,3162,1000761,326753.3
126,El Salvador,102,54780.48,91107,31515,10002,3110421,315825.2
127,Jordan,140,54518.49,98406,19079,4673,1624594,385412.5
128,Seychelles,65,54045.22,83285,17449,4127,2143180,271353.7
129,Trinidad & Tobago,88,53141.28,83854,23420,3440,968482,291194.9
130,Greenland,78,52673.39,80716,15845,2878,1113901,311694.8
131,Honduras,87,51774.92,80239,14044,2548,804041,269821.7
132,Jersey,48,50437.11,78739,24079,2874,1201407,236516.6
133,Brunei Darussalam,75,49144.18,78852,15128,2058,928714,244067.5
134,Guatemala,81,47956.52,72632,12268,3738,1457455,264667.5
135,Lebanon,99,47097.1,78228,20927,5047,1824050,311056.3
136,Montenegro,85,46550.87,72222,16765,5254,1762010,282202.9
137,Reunion,55,46337.75,75081,15800,3229,1095794,305136.6
138,Angola,68,43589.75,68009,12804,2297,894614,215370.0
139,Barbados,60,43433.54,65360,17340,2039,719174,189020.8
140,St. Helena,48,42644.88,68441,11085,2830,1128494,634836.0
141,St. Vincent & the Grenadines,42,41161.38,61486,12289,2366,826604,160404.7
142,Kosovo,89,40731.47,67626,15664,2030,743722,208878.0
143,Bhutan,68,40580.44,65513,13173,3160,933610,182122.2
144,Western Sahara,65,39510.4,66161,11059,2708,1053137,208661.2
145,Haiti,47,38838.38,60628,8643,1309,402658,203564.5
